Ville,Température
Lagny-sur-Marne,5.49
city,temp
La Garenne-Colombes,5.58
city,temp
La Garde,13.33
city,temp
La Garde,13.37
city,temp
La Ciotat,13.08
city,temp
La Chapelle-sur-Erdre,6.29
city,temp
La Celle-Saint-Cloud,4.77
city,temp
Jouy-le-Moutier,5.45
city,temp
Joué-lès-Tours,5.12
city,temp
Joinville-le-Pont,5.45
city,temp
Issoire,-2.41
city,temp
Illzach,3.8
city,temp
Illkirch-Graffenstaden,1.78
city,temp
Houilles,5.72
city,temp
Hérouville-Saint-Clair,7.4
city,temp
Herblay-sur-Seine,5.46
city,temp
Hénin-Beaumont,6.17
city,temp
Hem,6.25
city,temp
Arrondissement de Thionville-Ouest,5.3
city,temp
Hayange,5.32
city,temp
Hautmont,4.95
city,temp
Yutz,5.68
city,temp
Haubourdin,6.36
city,temp
Halluin,6.42
city,temp
Guyancourt,4.73
city,temp
Guéret,8.35
city,temp
Guéret,8.35
city,temp
Grasse,11.24
city,temp
Grande-Synthe,6.46
city,temp
Grande-Synthe,6.46
city,temp
Gonesse,5.64
city,temp
Givors,1.21
city,temp
Givors,1.43
city,temp
Gien,4.19
city,temp
Gennevilliers,5.71
city,temp
Garges-lès-Gonesse,5.56
city,temp
Gardanne,10.85
city,temp
Gardanne,11.02
city,temp
Fresnes,5.43
city,temp
Franconville,5.46
city,temp
Fos-sur-Mer,11.65
city,temp
Forbach,4.57
city,temp
Fontenay-sous-Bois,5.32
city,temp
Fontenay-aux-Roses,5.21
city,temp
Fontaine,5.35
city,temp
Fontaine,7.02
city,temp
Floirac,9.95
city,temp
Floirac,9.6
city,temp
Fécamp,6.74
city,temp
Faches-Thumesnil,6.21
city,temp
Évry-Courcouronnes,5.27
city,temp
Évreux,5.92
city,temp
La Baule-Escoublac,7.87
city,temp
Ermont,5.66
city,temp
Éragny-sur-Oise,5.58
city,temp
Épinay-sur-Seine,5.69
city,temp
Épinal,0.68
city,temp
Élancourt,4.86
city,temp
Écully,0.71
city,temp
Écully,0.52
city,temp
Eaubonne,5.61
city,temp
Draveil,5.29
city,temp
Douarnenez,10.4
city,temp
Douai,6.1
city,temp
Domont,5.4
city,temp
Dole,2.79
city,temp
Dijon,2.85
city,temp
Dieppe,7.1
city,temp
Deuil-la-Barre,5.36
city,temp
Denain,5.84
city,temp
Denain,5.85
city,temp
Décines-Charpieu,0.76
city,temp
Cugnaux,12.98
city,temp
Cugnaux,12.88
city,temp
Cran-Gevrier,1.47
city,temp
Courbevoie,5.58
city,temp
Coulommiers,5.01
city,temp
Coudekerque-Branche,6.48
city,temp
Cormeilles-en-Parisis,4.84
city,temp
Corbeil-Essonnes,5.26
city,temp
Conflans-Sainte-Honorine,5.66
city,temp
Concarneau,9.42
city,temp
Compiègne,5.94
city,temp
Combs-la-Ville,5.22
city,temp
